id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,1.b_genero,2.b_setor,2.c_numero_de_funcionarios,2.f_cargo_atual,2.h_faixa_salarial
3425,1,PR,de 3 a 4 anos,de 1 a 2 anos,Mestrado,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Feminino,Indústria,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3426,1,PR,de 3 a 4 anos,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Feminino,Tecnologia/Fábrica de Software,de 501 a 1.000,Analytics Engineer,de R$ 6.001/mês a R$ 8.000/mês
3427,1,PR,de 3 a 4 anos,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,de 11 a 50,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
3428,1,PR,de 3 a 4 anos,de 1 a 2 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,de 11 a 50,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês
3429,1,PR,de 3 a 4 anos,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Finanças ou Bancos,de 501 a 1.000,Analista de BI/BI Analyst,de R$ 6.001/mês a R$ 8.000/mês
3430,1,PR,de 3 a 4 anos,de 1 a 2 anos,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Agronegócios,de 501 a 1.000,Cientista de Dados/Data Scientist,de R$ 6.001/mês a R$ 8.000/mês
3431,1,PR,de 3 a 4 anos,de 1 a 2 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Masculino,Indústria,de 101 a 500,Analytics Engineer,de R$ 4.001/mês a R$ 6.000/mês
3432,1,PR,de 3 a 4 anos,de 1 a 2 anos,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Tecnologia/Fábrica de Software,de 501 a 1.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês
3433,1,PR,de 3 a 4 anos,de 3 a 4 anos,Doutorado ou Phd,Química / Física,Masculino,Educação,de 1.001 a 3.000,Cientista de Dados/Data Scientist,de R$ 16.001/mês a R$ 20.000/mês
3434,1,PR,de 3 a 4 anos,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Feminino,Internet/Ecommerce,Acima de 3.000,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3435,1,PR,de 3 a 4 anos,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Setor de Energia,de 501 a 1.000,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
3436,1,PR,de 3 a 4 anos,de 3 a 4 anos,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Varejo,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 12.001/mês a R$ 16.000/mês
3437,1,PR,de 3 a 4 anos,de 3 a 4 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Tecnologia/Fábrica de Software,Acima de 3.000,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 12.001/mês a R$ 16.000/mês
3438,1,PR,de 3 a 4 anos,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Agronegócios,de 101 a 500,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
3439,1,PR,de 3 a 4 anos,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Finanças ou Bancos,de 101 a 500,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,de R$ 4.001/mês a R$ 6.000/mês
3440,1,PR,de 3 a 4 anos,de 3 a 4 anos,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Setor Farmaceutico,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 8.001/mês a R$ 12.000/mês
3441,1,PR,de 3 a 4 anos,de 5 a 6 anos,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Feminino,Setor Público,de 501 a 1.000,Cientista de Dados/Data Scientist,de R$ 12.001/mês a R$ 16.000/mês
3442,1,PR,de 3 a 4 anos,de 5 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Masculino,Agronegócios,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 12.001/mês a R$ 16.000/mês
3443,1,PR,de 3 a 4 anos,de 1 a 2 anos,Pós-graduação,Outra opção,Feminino,Área da Saúde,de 101 a 500,Analista de Dados/Data Analyst,de R$ 3.001/mês a R$ 4.000/mês
3444,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Setor Automotivo,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 4.001/mês a R$ 6.000/mês
3445,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outras Engenharias (não incluir engenharia de software ou TI),Masculino,Outra Opção,de 501 a 1.000,Analista de Dados/Data Analyst,de R$ 6.001/mês a R$ 8.000/mês
3446,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Pós-graduação,Outra opção,Masculino,Setor Alimentício,Acima de 3.000,Engenheiro de Dados/Data Engineer/Data Architect,de R$ 4.001/mês a R$ 6.000/mês
3447,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Feminino,Finanças ou Bancos,de 101 a 500,Cientista de Dados/Data Scientist,de R$ 8.001/mês a R$ 12.000/mês
3448,1,PR,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Mestrado,Outras Engenharias (não incluir engenharia de software ou TI),Feminino,Marketing,Acima de 3.000,Analista de Dados/Data Analyst,de R$ 8.001/mês a R$ 12.000/mês
