id_classe_equivalencia,k_frequencia,1.i.1_uf_onde_mora,2.i_tempo_de_experiencia_em_dados,2.j_tempo_de_experiencia_em_ti,1.l_nivel_de_ensino,1.m_área_de_formação,2.f_cargo_atual
927,1,SP,de 7 a 10 anos,Mais de 10 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst
928,1,SP,de 7 a 10 anos,Mais de 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas
929,1,SP,de 7 a 10 anos,Menos de 1 ano,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst
930,1,SP,de 5 a 6 anos,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados/Data Scientist
931,1,SP,de 7 a 10 anos,Menos de 1 ano,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Arquiteto de Dados/Data Architect
932,1,SP,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Outra Opção
933,1,SP,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados/Data Engineer/Data Architect
934,1,SP,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Cientista de Dados/Data Scientist
935,1,SP,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Cientista de Dados/Data Scientist
936,1,SP,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estatístico
937,1,SP,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Doutorado ou Phd,Outras Engenharias (não incluir engenharia de software ou TI),Cientista de Dados/Data Scientist
938,1,SP,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analytics Engineer
939,1,SP,de 7 a 10 anos,Menos de 1 ano,Pós-graduação,Química / Física,Arquiteto de Dados/Data Architect
940,1,SP,de 5 a 6 anos,de 7 a 10 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst
941,1,SP,de 5 a 6 anos,de 7 a 10 anos,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Cientista de Dados/Data Scientist
942,1,SP,de 5 a 6 anos,de 7 a 10 anos,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Machine Learning/ML Engineer/AI Engineer
943,1,SP,de 5 a 6 anos,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analytics Engineer
944,1,SP,de 5 a 6 anos,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Arquiteto de Dados/Data Architect
945,1,SP,de 5 a 6 anos,de 3 a 4 anos,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados/Data Scientist
946,1,SP,de 5 a 6 anos,de 3 a 4 anos,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Analista de Dados/Data Analyst
947,1,SP,de 5 a 6 anos,de 3 a 4 anos,Pós-graduação,Outra opção,Outra Opção
948,1,SP,de 5 a 6 anos,de 5 a 6 anos,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados/Data Analyst
